name,adcode,gb
垣曲县,140827,156140827
夏县,140828,156140828
平陆县,140829,156140829
芮城县,140830,156140830
永济市,140881,156140881
河津市,140882,156140882
忻府区,140902,156140902
定襄县,140921,156140921
五台县,140922,156140922
代县,140923,156140923
繁峙县,140924,156140924
宁武县,140925,156140925
静乐县,140926,156140926
神池县,140927,156140927
五寨县,140928,156140928
岢岚县,140929,156140929
河曲县,140930,156140930
保德县,140931,156140931
偏关县,140932,156140932
原平市,140981,156140981
尧都区,141002,156141002
曲沃县,141021,156141021
翼城县,141022,156141022
襄汾县,141023,156141023
洪洞县,141024,156141024
古县,141025,156141025
安泽县,141026,156141026
浮山县,141027,156141027
吉县,141028,156141028
乡宁县,141029,156141029
大宁县,141030,156141030
隰县,141031,156141031
永和县,141032,156141032
蒲县,141033,156141033
汾西县,141034,156141034
侯马市,141081,156141081
霍州市,141082,156141082
离石区,141102,156141102
文水县,141121,156141121
交城县,141122,156141122
兴县,141123,156141123
临县,141124,156141124
柳林县,141125,156141125
石楼县,141126,156141126
岚县,141127,156141127
方山县,141128,156141128
中阳县,141129,156141129
交口县,141130,156141130
孝义市,141181,156141181
汾阳市,141182,156141182
新城区,150102,156150102
回民区,150103,156150103
玉泉区,150104,156150104
赛罕区,150105,156150105
土默特左旗,150121,156150121
托克托县,150122,156150122
和林格尔县,150123,156150123
清水河县,150124,156150124
武川县,150125,156150125
东河区,150202,156150202
昆都仑区,150203,156150203
青山区,150204,156150204
石拐区,150205,156150205
白云鄂博矿区,150206,156150206
九原区,150207,156150207
土默特右旗,150221,156150221
固阳县,150222,156150222
达尔罕茂明安联合旗,150223,156150223
海勃湾区,150302,156150302
海南区,150303,156150303
乌达区,150304,156150304
红山区,150402,156150402
元宝山区,150403,156150403
松山区,150404,156150404
阿鲁科尔沁旗,150421,156150421
巴林左旗,150422,156150422
巴林右旗,150423,156150423
林西县,150424,156150424
克什克腾旗,150425,156150425
翁牛特旗,150426,156150426
喀喇沁旗,150428,156150428
宁城县,150429,156150429
敖汉旗,150430,156150430
科尔沁区,150502,156150502
科尔沁左翼中旗,150521,156150521
科尔沁左翼后旗,150522,156150522
开鲁县,150523,156150523
库伦旗,150524,156150524
奈曼旗,150525,156150525
扎鲁特旗,150526,156150526
霍林郭勒市,150581,156150581
东胜区,150602,156150602
康巴什区,150603,156150603
达拉特旗,150621,156150621
准格尔旗,150622,156150622
鄂托克前旗,150623,156150623
鄂托克旗,150624,156150624
杭锦旗,150625,156150625
乌审旗,150626,156150626
伊金霍洛旗,150627,156150627
海拉尔区,150702,156150702
扎赉诺尔区,150703,156150703
阿荣旗,150721,156150721
莫力达瓦达斡尔族自治旗,150722,156150722
鄂伦春自治旗,150723,156150723
鄂温克族自治旗,150724,156150724
陈巴尔虎旗,150725,156150725
新巴尔虎左旗,150726,156150726
新巴尔虎右旗,150727,156150727
满洲里市,150781,156150781
牙克石市,150782,156150782
扎兰屯市,150783,156150783
额尔古纳市,150784,156150784
根河市,150785,156150785
临河区,150802,156150802
五原县,150821,156150821
磴口县,150822,156150822
乌拉特前旗,150823,156150823
乌拉特中旗,150824,156150824
乌拉特后旗,150825,156150825
杭锦后旗,150826,156150826
集宁区,150902,156150902
卓资县,150921,156150921
化德县,150922,156150922
商都县,150923,156150923
兴和县,150924,156150924
凉城县,150925,156150925
察哈尔右翼前旗,150926,156150926
察哈尔右翼中旗,150927,156150927
察哈尔右翼后旗,150928,156150928
四子王旗,150929,156150929
丰镇市,150981,156150981
乌兰浩特市,152201,156152201
阿尔山市,152202,156152202
科尔沁右翼前旗,152221,156152221
科尔沁右翼中旗,152222,156152222
扎赉特旗,152223,156152223
突泉县,152224,156152224
二连浩特市,152501,156152501
锡林浩特市,152502,156152502
阿巴嘎旗,152522,156152522
苏尼特左旗,152523,156152523
苏尼特右旗,152524,156152524
东乌珠穆沁旗,152525,156152525
西乌珠穆沁旗,152526,156152526
太仆寺旗,152527,156152527
镶黄旗,152528,156152528
正镶白旗,152529,156152529
正蓝旗,152530,156152530
多伦县,152531,156152531
阿拉善左旗,152921,156152921
阿拉善右旗,152922,156152922
额济纳旗,152923,156152923
和平区,210102,156210102
沈河区,210103,156210103
大东区,210104,156210104
皇姑区,210105,156210105
铁西区,210106,156210106
苏家屯区,210111,156210111
浑南区,210112,156210112
沈北新区,210113,156210113
于洪区,210114,156210114
辽中区,210115,156210115
康平县,210123,156210123
法库县,210124,156210124
新民市,210181,156210181
中山区,210202,156210202
西岗区,210203,156210203
沙河口区,210204,156210204
甘井子区,210211,156210211
旅顺口区,210212,156210212
金州区,210213,156210213
普兰店区,210214,156210214
长海县,210224,156210224
瓦房店市,210281,156210281
庄河市,210283,156210283
铁东区,210302,156210302
铁西区,210303,156210303
立山区,210304,156210304
千山区,210311,156210311
台安县,210321,156210321
岫岩满族自治县,210323,156210323
海城市,210381,156210381
新抚区,210402,156210402
东洲区,210403,156210403
望花区,210404,156210404
顺城区,210411,156210411
抚顺县,210421,156210421
新宾满族自治县,210422,156210422
清原满族自治县,210423,156210423
平山区,210502,156210502
溪湖区,210503,156210503
明山区,210504,156210504
南芬区,210505,156210505
本溪满族自治县,210521,156210521
桓仁满族自治县,210522,156210522
元宝区,210602,156210602
振兴区,210603,156210603
振安区,210604,156210604
宽甸满族自治县,210624,156210624
东港市,210681,156210681
凤城市,210682,156210682
古塔区,210702,156210702
凌河区,210703,156210703
太和区,210711,156210711
黑山县,210726,156210726
义县,210727,156210727
凌海市,210781,156210781
北镇市,210782,156210782
站前区,210802,156210802
西市区,210803,156210803
鲅鱼圈区,210804,156210804
老边区,210811,156210811
盖州市,210881,156210881
大石桥市,210882,156210882
海州区,210902,156210902
新邱区,210903,156210903
太平区,210904,156210904
清河门区,210905,156210905
细河区,210911,156210911
阜新蒙古族自治县,210921,156210921
彰武县,210922,156210922
白塔区,211002,156211002
文圣区,211003,156211003
宏伟区,211004,156211004
弓长岭区,211005,156211005
太子河区,211011,156211011
辽阳县,211021,156211021
灯塔市,211081,156211081
双台子区,211102,156211102
兴隆台区,211103,156211103
大洼区,211104,156211104
盘山县,211122,156211122
银州区,211202,156211202
清河区,211204,156211204
铁岭县,211221,156211221
西丰县,211223,156211223
昌图县,211224,156211224
调兵山市,211281,156211281
开原市,211282,156211282
双塔区,211302,156211302
龙城区,211303,156211303
朝阳县,211321,156211321
建平县,211322,156211322
喀喇沁左翼蒙古族自治县,211324,156211324
北票市,211381,156211381
凌源市,211382,156211382
连山区,211402,156211402
龙港区,211403,156211403
南票区,211404,156211404
绥中县,211421,156211421
建昌县,211422,156211422
兴城市,211481,156211481
南关区,220102,156220102
宽城区,220103,156220103
朝阳区,220104,156220104
二道区,220105,156220105
绿园区,220106,156220106
双阳区,220112,156220112
九台区,220113,156220113
农安县,220122,156220122
榆树市,220182,156220182
德惠市,220183,156220183
公主岭市,220184,156220184
昌邑区,220202,156220202
龙潭区,220203,156220203
船营区,220204,156220204
丰满区,220211,156220211
永吉县,220221,156220221
蛟河市,220281,156220281
桦甸市,220282,156220282
舒兰市,220283,156220283
磐石市,220284,156220284
铁西区,220302,156220302
铁东区,220303,156220303
梨树县,220322,156220322
伊通满族自治县,220323,156220323
双辽市,220382,156220382
龙山区,220402,156220402
西安区,220403,156220403
东丰县,220421,156220421
东辽县,220422,156220422
东昌区,220502,156220502
二道江区,220503,156220503
通化县,220521,156220521
辉南县,220523,156220523
柳河县,220524,156220524
梅河口市,220581,156220581
集安市,220582,156220582
浑江区,220602,156220602
江源区,220605,156220605
抚松县,220621,156220621
靖宇县,220622,156220622
长白朝鲜族自治县,220623,156220623
临江市,220681,156220681
宁江区,220702,156220702
前郭尔罗斯蒙古族自治县,220721,156220721
长岭县,220722,156220722
乾安县,220723,156220723
扶余市,220781,156220781
洮北区,220802,156220802
镇赉县,220821,156220821
通榆县,220822,156220822
洮南市,220881,156220881
大安市,220882,156220882
延吉市,222401,156222401
图们市,222402,156222402
敦化市,222403,156222403
珲春市,222404,156222404
龙井市,222405,156222405
和龙市,222406,156222406
汪清县,222424,156222424
安图县,222426,156222426
道里区,230102,156230102
南岗区,230103,156230103
道外区,230104,156230104
平房区,230108,156230108
松北区,230109,156230109
香坊区,230110,156230110
呼兰区,230111,156230111
阿城区,230112,156230112
双城区,230113,156230113
依兰县,230123,156230123
方正县,230124,156230124
宾县,230125,156230125
